Book Name,Author,Rating,Customers_Rated,Href
"
The Sleeper
",Edgar Allan Poe,3.6,242 rat,https://www.goodreads.com/book/show/18621496-the-sleeper
"
Вечера на хуторе близ Диканьки
",Nikolai Gogol,4.1,"3,894 r",https://www.goodreads.com/book/show/158358._
"
Mirgorod: Four Tales by Nikolai Gogol
",Nikolai Gogol,4.1,583 rat,https://www.goodreads.com/book/show/195684.Mirgorod
"
Zibaldone
",Giacomo Leopardi,4.4,405 rat,https://www.goodreads.com/book/show/18490595-zibaldone
"
The Conversation of Eiros and Charmion
",Edgar Allan Poe,3.0,396 rat,https://www.goodreads.com/book/show/8498304-the-conversation-of-eiros-and-charmion
"
Det går an
",Carl Jonas Love Almqvist,3.2,"1,925 r",https://www.goodreads.com/book/show/3892118-det-g-r-an
"
The Coliseum
",Edgar Allan Poe,3.2,97 rati,https://www.goodreads.com/book/show/25164326-the-coliseum
"
The Night Before Christmas
",Nikolai Gogol,3.8,"3,248 r",https://www.goodreads.com/book/show/20893322-the-night-before-christmas
"
The Girl With The Golden Eyes
",Honoré de Balzac,3.3,"1,839 r",https://www.goodreads.com/book/show/25937.The_Girl_With_The_Golden_Eyes
"
Four Beasts in One: The Homo-Cameleopard
",Edgar Allan Poe,2.5,430 rat,https://www.goodreads.com/book/show/6472005-four-beasts-in-one
"
The Vicar Of Tours
",Honoré de Balzac,3.5,346 rat,https://www.goodreads.com/book/show/2154956.The_Vicar_Of_Tours
"
Israfel
",Edgar Allan Poe,3.3,115 rat,https://www.goodreads.com/book/show/27404707-israfel
"
Memoirs of a Madman
",Gustave Flaubert,3.6,"1,076 r",https://www.goodreads.com/book/show/60698.Memoirs_of_a_Madman
"
The Duc de L'Omelette
",Edgar Allan Poe,2.3,482 rat,https://www.goodreads.com/book/show/8464992-the-duc-de-l-omelette
"
Conversations of Lord Byron with the Countess of Blessington
",Marguerite Power Gardiner,4.2,13 rati,https://www.goodreads.com/book/show/13737974-conversations-of-lord-byron-with-the-countess-of-blessington
"
Портрет
",Nikolai Gogol,4.0,"2,675 r",https://www.goodreads.com/book/show/17885208
"
A Tale of Jerusalem - a Short Story by Edgar Allan Poe
",Edgar Allan Poe,2.2,519 rat,https://www.goodreads.com/book/show/8498308-a-tale-of-jerusalem---a-short-story-by-edgar-allan-poe
"
Cesar Birotteau
",Honoré de Balzac,3.7,999 rat,https://www.goodreads.com/book/show/191487.Cesar_Birotteau
"
Gamiani, or Two Nights of Excess (Naughty French Novels, 1)
",Alfred de Musset,3.1,414 rat,https://www.goodreads.com/book/show/622765.Gamiani_or_Two_Nights_of_Excess
"
The Wild Swans
",Hans Christian Andersen,4.2,"3,522 r",https://www.goodreads.com/book/show/382818.The_Wild_Swans
"
The Masque of Anarchy: Written on Occasion of the Massacre at Manchester
",Professor Percy Bysshe Shelley,4.2,306 rat,https://www.goodreads.com/book/show/1868952.The_Masque_of_Anarchy
"
Mademoiselle de Maupin
",Théophile Gautier,3.9,"1,217 r",https://www.goodreads.com/book/show/253878.Mademoiselle_de_Maupin
"
The Journal Of Sir Walter Scott (Canongate Classics S)
",Walter Scott,eal,0 avg r,https://www.goodreads.com/book/show/162072.The_Journal_Of_Sir_Walter_Scott
"
Mr. Midshipman Easy
",Frederick Marryat,3.7,934 rat,https://www.goodreads.com/book/show/341860.Mr_Midshipman_Easy
"
The Adventures of Captain Bonneville, U.S.A, in the Rocky Mountains and the Far West
",Washington Irving,3.8,119 rat,https://www.goodreads.com/book/show/1258830.The_Adventures_of_Captain_Bonneville_U_S_A_in_the_Rocky_Mountains_and_the_Far_West
"
The Pirate and the Three Cutters: Nonsuch Classics
",Frederick Marryat,3.6,21 rati,https://www.goodreads.com/book/show/2056422.The_Pirate_and_the_Three_Cutters
"
The Complete Poems
",Percy Bysshe Shelley,4.0,"8,338 r",https://www.goodreads.com/book/show/223394.The_Complete_Poems
"
Adventures of a Mountain Man: The Narrative of Zenas Leonard
",Zenas Leonard,3.9,763 rat,https://www.goodreads.com/book/show/36217240-adventures-of-a-mountain-man
"
Маруся
",Григорій Квітка-Основ'яненко,3.8,506 rat,https://www.goodreads.com/book/show/16053422
"
The Blackamoor of Peter the Great
",Alexander Pushkin,3.6,605 rat,https://www.goodreads.com/book/show/9062906-the-blackamoor-of-peter-the-great
"
Arabesques
",Nikolai Gogol,4.2,"2,268 r",https://www.goodreads.com/book/show/3301900-arabesques
"
The Lion of Flanders
",Hendrik Conscience,3.4,885 rat,https://www.goodreads.com/book/show/2038673.The_Lion_of_Flanders
"
Hyperion
",Henry Wadsworth Longfellow,3.8,84 rati,https://www.goodreads.com/book/show/8435694-hyperion
"
Canti
",Giacomo Leopardi,4.4,"2,614 r",https://www.goodreads.com/book/show/7960968-canti
"
Gedichte
",Joseph von Eichendorff,4.1,136 rat,https://www.goodreads.com/book/show/1780959.Gedichte
"
Lélia
",George Sand,3.7,254 rat,https://www.goodreads.com/book/show/794904.L_lia
"
Rural Muse
",John Clare,4.7,8 ratin,https://www.goodreads.com/book/show/11067337-rural-muse
"
Медный всадник - The Bronze Horseman
",Alexander Pushkin,4.0,"1,815 r",https://www.goodreads.com/book/show/1192801._The_Bronze_Horseman
"
Balladyna
",Juliusz Słowacki,3.3,"14,036 ",https://www.goodreads.com/book/show/2151148.Balladyna
"
Hernani
",Victor Hugo,3.4,"2,957 r",https://www.goodreads.com/book/show/417465.Hernani
"
Poems, Chiefly Lyrical 1830 (Revolution and Romanticism, 1789-1834)
",Alfred Tennyson,3.7,24 rati,https://www.goodreads.com/book/show/2791705-poems-chiefly-lyrical-1830
"
Moore's Irish Melodies
",Thomas   Moore,3.8,27 rati,https://www.goodreads.com/book/show/750315.Moore_s_Irish_Melodies
"
Istoria celor treisprezece
",Honoré de Balzac,3.7,567 rat,https://www.goodreads.com/book/show/13536980-istoria-celor-treisprezece
"
Шельменко-денщик
",Григорій Квітка-Основ'яненко,3.8,15 rati,https://www.goodreads.com/book/show/36153708--
"
Quintus Servinton : A Tale founded upon Incidents of Real Occurence
",Henry Savery,2.7,7 ratin,https://www.goodreads.com/book/show/12610102-quintus-servinton
"
Birds of America
",John James Audubon,4.4,358 rat,https://www.goodreads.com/book/show/11218309-birds-of-america
"
The Cavalry Maiden: Journals of a Russian Officer in the Napoleonic Wars (Indiana-Michigan Series in Russian and East European Studies)
",Nadezhda Durova,3.6,224 rat,https://www.goodreads.com/book/show/1031687.The_Cavalry_Maiden
"
Конотопська відьма
",Григорій Квітка-Основ'яненко,3.9,461 rat,https://www.goodreads.com/book/show/31299276
"
Zur Geschichte der Religion und Philosophie in Deutschland
",Heinrich Heine,4.1,142 rat,https://www.goodreads.com/book/show/1679919.Zur_Geschichte_der_Religion_und_Philosophie_in_Deutschland
"
The Doctrine and Covenants of the Church of Jesus Christ of Latter-Day Saints
",The Church of Jesus Christ of Latter-day Saints,4.5,"7,588 r",https://www.goodreads.com/book/show/2139442.The_Doctrine_and_Covenants_of_the_Church_of_Jesus_Christ_of_Latter_Day_Saints
"
Marie: A Story of Russian Love
",Alexander Pushkin,3.7,120 rat,https://www.goodreads.com/book/show/10034420-marie
"
Scenes from a Courtesan's Life
",Honoré de Balzac,4.0,"3,336 r",https://www.goodreads.com/book/show/1457330.Scenes_from_a_Courtesan_s_Life
"
President Dwight's Decisions of Questions Discussed by the Senior Class in Yale College, in 1813 and 1814
",Timothy Dwight,eal,0 avg r,https://www.goodreads.com/book/show/19071145-president-dwight-s-decisions-of-questions-discussed-by-the-senior-class
"
Fairy Tales
",Hans Christian Andersen,4.1,"2,993 r",https://www.goodreads.com/book/show/765536.Fairy_Tales
"
The Purse
",Honoré de Balzac,3.5,346 rat,https://www.goodreads.com/book/show/2311449.The_Purse
"
The Squabble
",Nikolai Gogol,3.9,"1,737 r",https://www.goodreads.com/book/show/635041.The_Squabble
"
The Avenger
",Thomas de Quincey,3.5,169 rat,https://www.goodreads.com/book/show/7600662-the-avenger
"
The Carriage
",Nikolai Gogol,3.1,688 rat,https://www.goodreads.com/book/show/15768563-the-carriage
"
Klosterheim; or, The masque
",Michigan Historical Reprint Series,3.2,80 rati,https://www.goodreads.com/book/show/1268309.Klosterheim_or_The_masque
"
Старосветские помещики
",Nikolai Gogol,3.8,487 rat,https://www.goodreads.com/book/show/16052651
"
The Life of Henry Brulard
",Stendhal,3.8,290 rat,https://www.goodreads.com/book/show/75600.The_Life_of_Henry_Brulard
"
Revolt of the Tartars; Or, Flight of the Kalmuck Khan
",Thomas de Quincey,3.3,84 rati,https://www.goodreads.com/book/show/7756037-revolt-of-the-tartars-or-flight-of-the-kalmuck-khan
"
Tales of Belkin and Other Prose Writings
",Alexander Pushkin,4.2,"5,373 r",https://www.goodreads.com/book/show/97385.Tales_of_Belkin_and_Other_Prose_Writings
"
The Masque of the Red Death & Other Tales
",Edgar Allan Poe,eal,0 avg r,https://www.goodreads.com/book/show/40512740-the-masque-of-the-red-death-other-tales
"
The Confessions of Nat Turner: and Related Documents (Bedford Series in History and Culture)
",Nat Turner,3.6,202 rat,https://www.goodreads.com/book/show/87536.The_Confessions_of_Nat_Turner
"
Domestic Manners of the Americans
",Fanny Trollope,3.7,455 rat,https://www.goodreads.com/book/show/1054984.Domestic_Manners_of_the_Americans
"
Recollections of the Lake Poets
",Thomas de Quincey,0.0,0 ratin,https://www.goodreads.com/book/show/59265987-recollections-of-the-lake-poets
